Query I; P@10; R@10; AP@10
 1 ; 0.5; 0.13513513; 1.0
 2 ; 0.4; 0.25; 0.8000001
 3 ; 0.4; 0.18181819; 0.8000001
 4 ; 0.2; 0.08695652; 0.4
 5 ; 0.5; 0.1923077; 1.0
 6 ; 0.3; 0.23076923; 0.59999996
 7 ; 0.4; 0.26666668; 0.8000001
 8 ; 0.3; 0.27272728; 0.59999996
 9 ; 0.5; 0.17857143; 1.0
 10 ; 0.2; 0.083333336; 0.4
 11 ; 0.4; 0.22222222; 0.8000001
 12 ; 0.3; 0.33333334; 0.59999996
 13 ; 0.5; 0.23809524; 1.0
 14 ; 0.3; 0.1875; 0.59999996
 15 ; 0.3; 0.10344828; 0.59999996
 16 ; 0.4; 0.30769232; 0.8000001
 17 ; 0.3; 0.14285715; 0.59999996
 18 ; 0.2; 0.13333334; 0.4
 19 ; 0.4; 0.14814815; 0.8000001
 20 ; 0.1; 0.025641026; 0.2
 21 ; 0.3; 0.11111111; 0.59999996
 22 ; 0.2; 0.08; 0.4
 23 ; 0.5; 0.12820514; 1.0
 24 ; 0.4; 0.18181819; 0.8000001
 25 ; 0.4; 0.16666667; 0.8000001
 27 ; 0.5; 0.2777778; 1.0
 28 ; 0.3; 0.07692308; 0.59999996
 29 ; 0.5; 0.13513513; 1.0
 30 ; 0.3; 0.21428572; 0.59999996
Promedios:  ; 0.11444445 ; 0.0565831 ; 0.2288889
